年,月薪,年增,實質月薪,年增
85,36699,3.70,42520,0.60
86,38489,4.88,44195,3.94
87,39673,3.08,44798,1.36
88,40842,2.95,46040,2.77
89,41861,2.49,46605,1.23
90,41960,0.24,46716,0.24
91,41530,-1.02,46330,-0.83
92,42065,1.29,47058,1.57
93,42680,1.46,46989,-0.15
94,43159,1.12,46447,-1.15
95,43488,0.76,46521,0.16
96,44392,2.08,46650,0.28
97,44367,-0.06,45038,-3.46
98,42182,-4.92,43193,-4.10
99,44359,5.16,44989,4.16
100,45508,2.59,45508,1.15
101,45589,0.18,44726,-1.72
102,45664,0.16,44446,-0.63
103,47300,3.58,45494,2.36
